Date,Infected count,District sum,Foreign case,Other clusters
11/13/20,16191,11574,1583,3034
11/14/20,16583,12023,1586,2974
11/15/20,17287,12408,1586,3293
11/16/20,17674,13089,1591,2994
11/17/20,18075,13418,1594,3063
11/18/20,18402,13768,1596,3038
11/19/20,18841,14046,1598,3197
11/20/20,19280,14407,1602,3271
11/21/20,19771,14673,1606,3492
11/22/20,20171,15122,1615,3434
11/23/20,20508,15417,1617,3474
11/24/20,20967,15729,1618,3620
11/25/20,21469,16144,1618,3707
11/26/20,22028,16617,1624,3787
11/27/20,22501,17049,1625,3827
11/28/20,22988,17440,1625,3923
11/29/20,23484,17886,1625,3973
11/30/20,23987,18366,1632,3989
12/01/20,24532,18851,1636,4045
12/02/20,25410,19363,1636,4411
12/03/20,26038,20210,1637,4191
12/04/20,26559,20821,1641,4097
12/05/20,27228,21319,1641,4268
12/06/20,27877,21976,1642,4259
12/07/20,28580,22610,1642,4328
12/08/20,29378,23314,1643,4421
12/09/20,30075,24112,1646,4317
12/10/20,30613,24778,1715,4120
12/11/20,31375,25274,1715,4386
12/12/20,32135,26002,1720,4413
12/13/20,32790,26761,1725,4304
12/14/20,33478,27399,1728,4351
12/15/20,34121,28078,1749,4294
12/16/20,34737,28641,1754,4342
12/17/20,35387,29223,1754,4410
12/18/20,36049,29861,1756,4432
12/19/20,36667,30470,1756,4441
12/20/20,37261,31071,1758,4432
12/21/20,37631,31647,1764,4220
12/22/20,38059,31978,1765,4316
12/23/20,38639,32367,1766,4506
12/24/20,39231,32856,1770,4605
12/25/20,39782,33426,1770,4586
12/26/20,40380,33939,1775,4666
12/27/20,41054,34511,1781,4762
12/28/20,41603,35111,1800,4692
12/29/20,42063,35587,1807,4669
12/30/20,42702,36012,1810,4880
12/31/20,43299,36596,1815,4888
01/01/21,43856,37141,1816,4899
01/02/21,44371,37639,1829,4903
01/03/21,44774,38115,1829,4830
01/04/21,45242,38486,1830,4926
01/05/21,45726,38948,1835,4943
01/06/21,46248,39419,1836,4993
01/07/21,46780,39925,1843,5012
01/08/21,47305,40391,1844,5070
01/09/21,47840,40908,1844,5088
01/10/21,48380,41428,1848,5104
01/11/21,48949,41944,1849,5156
01/12/21,49537,42505,1853,5179
01/13/21,50229,43070,1858,5301
01/14/21,50899,43719,1858,5322
01/15/21,51594,44337,1870,5387
01/16/21,52313,45009,1874,5430
01/17/21,53076,45701,1888,5487
01/18/21,53750,46405,1935,5410
01/19/21,54419,46990,1944,5485
01/20/21,55189,47643,1946,5600
01/21/21,56076,48379,1960,5737
01/22/21,56863,49200,1963,5700
01/23/21,57587,49764,1963,5860
01/24/21,58430,50483,1965,5982
01/25/21,59167,51222,1965,5980
01/26/21,59922,51905,1972,6045
