Date,Infected,Recovered,Deaths
01/22/20,0,0,0
01/23/20,0,0,0
01/24/20,0,0,0
01/25/20,0,0,0
01/26/20,0,0,0
01/27/20,1,0,0
01/28/20,1,0,0
01/29/20,1,0,0
01/30/20,1,0,0
01/31/20,1,0,0
02/01/20,1,0,0
02/02/20,1,0,0
02/03/20,1,0,0
02/04/20,1,0,0
02/05/20,1,0,0
02/06/20,1,0,0
02/07/20,1,0,0
02/08/20,1,1,0
02/09/20,1,1,0
02/10/20,1,1,0
02/11/20,1,1,0
02/12/20,1,1,0
02/13/20,1,1,0
02/14/20,1,1,0
02/15/20,1,1,0
02/16/20,1,1,0
02/17/20,1,1,0
02/18/20,1,1,0
02/19/20,1,1,0
02/20/20,1,1,0
02/21/20,1,1,0
02/22/20,1,1,0
02/23/20,1,1,0
02/24/20,1,1,0
02/25/20,1,1,0
02/26/20,1,1,0
02/27/20,1,1,0
02/28/20,1,1,0
02/29/20,1,1,0
03/01/20,1,1,0
03/02/20,1,1,0
03/03/20,1,1,0
03/04/20,1,1,0
03/05/20,1,1,0
03/06/20,1,1,0
03/07/20,1,1,0
03/08/20,1,1,0
03/09/20,1,1,0
03/10/20,1,1,0
03/11/20,2,1,0
03/12/20,2,1,0
03/13/20,6,1,0
03/14/20,10,1,0
03/15/20,18,1,0
03/16/20,28,1,0
03/17/20,44,1,0
03/18/20,51,1,0
03/19/20,60,3,0
03/20/20,73,3,0
03/21/20,77,1,0
03/22/20,82,3,0
03/23/20,97,3,0
03/24/20,102,2,0
03/25/20,102,3,0
03/26/20,106,7,0
03/27/20,106,7,0
03/28/20,113,9,1
03/29/20,117,11,1
03/30/20,122,15,2
03/31/20,143,17,2
04/01/20,146,21,3
04/02/20,151,21,4
04/03/20,159,24,4
04/04/20,166,27,5
04/05/20,176,33,5
04/06/20,178,38,5
04/07/20,185,42,6
04/08/20,189,44,7
04/09/20,190,49,7
04/10/20,190,54,7
04/11/20,198,54,7
04/12/20,210,56,7
04/13/20,217,56,7
04/14/20,233,61,7
04/15/20,238,63,7
04/16/20,238,68,7
04/17/20,244,77,7
04/18/20,254,86,7
04/19/20,271,96,7
04/20/20,304,98,7
04/21/20,310,102,7
04/22/20,330,105,7
04/23/20,368,107,7
04/24/20,420,109,7
04/25/20,460,118,7
04/26/20,523,120,7
04/27/20,588,126,7
04/28/20,619,134,7
04/29/20,649,136,7
04/30/20,663,154,7
05/01/20,690,162,7
05/02/20,705,172,7
05/03/20,718,184,7
05/04/20,751,194,8
05/05/20,771,213,9
05/06/20,797,215,9
05/07/20,824,232,9
05/08/20,835,240,9
05/09/20,847,260,9
05/10/20,863,321,9
05/11/20,869,343,9
05/12/20,889,366,9
05/13/20,915,382,9
05/14/20,925,445,9
05/15/20,935,477,9
05/16/20,960,520,9
05/17/20,981,538,9
05/18/20,992,559,9
05/19/20,1027,569,9
05/20/20,1028,584,9
05/21/20,1055,604,9
05/22/20,1068,620,9
05/23/20,1089,660,9
05/24/20,1141,674,9
05/25/20,1182,695,10
05/26/20,1319,712,10
05/27/20,1469,732,10
05/28/20,1530,745,10
05/29/20,1558,754,10
05/30/20,1620,781,10
05/31/20,1633,801,10
06/01/20,1643,811,11
06/02/20,1683,823,11
06/03/20,1749,836,11
06/04/20,1797,839,11
06/05/20,1801,858,11
06/06/20,1814,891,11
06/07/20,1835,941,11
06/08/20,1857,990,11
06/09/20,1859,1057,11
06/10/20,1869,1122,11
06/11/20,1877,1150,11
06/12/20,1880,1196,11
06/13/20,1884,1252,11
06/14/20,1889,1287,11
06/15/20,1905,1342,11
06/16/20,1915,1371,11
06/17/20,1924,1397,11
06/18/20,1947,1421,11
06/19/20,1950,1446,11
06/20/20,1950,1472,11
06/21/20,1950,1498,11
06/22/20,1951,1526,11
06/23/20,1991,1548,11
06/24/20,2001,1562,11
06/25/20,2010,1602,11
06/26/20,2014,1619,11
06/27/20,2033,1639,11
06/28/20,2037,1661,11
06/29/20,2039,1678,11
06/30/20,2047,1711,11
07/01/20,2054,1748,11
07/02/20,2066,1827,11
07/03/20,2069,1863,11
07/04/20,2074,1885,11
07/05/20,2076,1903,11
07/06/20,2077,1917,11
07/07/20,2081,1955,11
07/08/20,2094,1967,11
07/09/20,2154,1979,11
07/10/20,2454,1980,11
07/11/20,2511,1980,11
07/12/20,2617,1981,11
07/13/20,2646,1981,11
07/14/20,2665,1988,11
07/15/20,2671,2001,11
07/16/20,2687,2007,11
07/17/20,2697,2012,11
07/18/20,2703,2023,11
07/19/20,2724,2035,11
07/20/20,2730,2041,11
07/21/20,2730,2048,11
07/22/20,2752,2064,11
07/23/20,2753,2077,11
07/24/20,2764,2094,11
07/25/20,2770,2103,11
07/26/20,2782,2106,11
07/27/20,2805,2121,11
07/28/20,2810,2296,11
07/29/20,2810,2317,11
07/30/20,2814,2333,11
07/31/20,2815,2391,11
08/01/20,2815,2439,11
08/02/20,2823,2514,11
08/03/20,2828,2517,11
08/04/20,2834,2524,11
08/05/20,2839,2537,11
08/06/20,2839,2541,11
08/07/20,2839,2564,11
08/08/20,2841,2576,11
08/09/20,2844,2579,11
08/10/20,2871,2593,11
08/11/20,2880,2622,11
08/12/20,2881,2638,11
08/13/20,2882,2646,11
08/14/20,2886,2658,11
08/15/20,2890,2666,11
08/16/20,2893,2670,11
08/17/20,2900,2676,11
08/18/20,2902,2755,11
08/19/20,2902,2760,11
08/20/20,2918,2765,11
08/21/20,2941,2789,11
08/22/20,2947,2798,12
08/23/20,2953,2805,12
08/24/20,2959,2811,12
08/25/20,2971,2816,12
08/26/20,2984,2819,12
08/27/20,2986,2830,12
08/28/20,2989,2842,12
08/29/20,2995,2849,12
08/30/20,3012,2860,12
08/31/20,3049,2868,12
09/01/20,3092,2879,12
09/02/20,3101,2883,12
09/03/20,3111,2883,12
09/04/20,3115,2907,12
09/05/20,3121,2918,12
09/06/20,3123,2925,12
09/07/20,3123,2926,12
09/08/20,3140,2935,12
09/09/20,3147,2946,12
09/10/20,3155,2955,12
09/11/20,3169,2969,12
09/12/20,3195,2983,12
09/13/20,3234,2996,12
09/14/20,3262,3005,13
09/15/20,3271,3016,13
09/16/20,3271,3021,13
09/17/20,3276,3043,13
09/18/20,3281,3060,13
09/19/20,3283,3070,13
09/20/20,3287,3088,13
09/21/20,3299,3100,13
09/22/20,3313,3118,13
09/23/20,3324,3129,13
09/24/20,3333,3142,13
09/25/20,3345,3158,13
09/26/20,3349,3186,13
09/27/20,3360,3208,13
09/28/20,3363,3210,13
09/29/20,3374,3230,13
09/30/20,3380,3230,13
10/01/20,3382,3233,13
10/02/20,3388,3245,13
10/03/20,3395,3254,13
10/04/20,3402,3258,13
10/05/20,3513,3259,13
10/06/20,4252,3266,13
10/07/20,4459,3274,13
10/08/20,4488,3278,13
10/09/20,4523,3296,13
10/10/20,4628,3306,13
10/11/20,4752,3307,13
10/12/20,4844,3317,13
10/13/20,5038,3328,13
10/14/20,5170,3357,13
10/15/20,5244,3380,13
10/16/20,5354,3385,13
10/17/20,5475,3395,13
10/18/20,5538,3403,13
10/19/20,5625,3440,13
10/20/20,5811,3457,13
10/21/20,5978,3501,13
10/22/20,6287,3561,14
10/23/20,7153,3644,14
10/24/20,7521,3714,15
10/25/20,7872,3803,16
10/26/20,8413,3933,16
10/27/20,8870,4043,19
10/28/20,9205,4075,19
10/29/20,9791,4142,19
10/30/20,10424,4282,19
10/31/20,10663,4399,20
11/01/20,11060,4905,21
11/02/20,11335,5249,21
11/03/20,11744,5581,23
11/04/20,12187,5858,24
11/05/20,12570,6623,29
11/06/20,12970,7186,30
11/07/20,13419,7723,34
11/08/20,13929,8285,35
11/09/20,14285,8880,36
11/10/20,14715,9537,41
11/11/20,15350,10183,46
11/12/20,15723,10653,48
11/13/20,16191,11031,53
11/14/20,16583,11324,53
11/15/20,17287,11495,58
11/16/20,17674,11806,61
11/17/20,18075,12210,66
11/18/20,18402,12587,69
11/19/20,18841,12903,73
11/20/20,19280,13271,74
11/21/20,19771,13590,83
11/22/20,20171,14069,87
11/23/20,20508,14497,90
11/24/20,20967,14962,94
11/25/20,21469,15447,96
11/26/20,22028,15816,99
11/27/20,22501,16226,107
11/28/20,22988,16656,109
11/29/20,23484,17002,116
11/30/20,23987,17560,118
12/01/20,24532,17817,122
12/02/20,25410,18304,124
12/03/20,26038,19032,129
12/04/20,26559,19438,130
12/05/20,27228,20090,137
