Date,Ampara,Anuradhapura,Badulla,Batticaloa,Colombo,Galle,Gampaha,Hambantota,Jaffna,Kalutara,Kandy,Kegalle,Kilinochchi,Kurunegala,Mannar,Matale,Matara,Moneragala,Mullaitivu,Nuwara Eliya,Polonnaruwa,Puttalam,Ratnapura,Trincomalee,Vavuniya
11/14/2020,24,29,32,63,4829,123,4921,20,24,593,144,170,3,238,10,28,26,12,1,47,16,93,104,10,14
11/15/2020,24,31,34,69,5118,129,4943,21,24,601,224,174,3,241,10,29,26,14,1,47,17,94,124,11,14
11/16/2020,25,32,34,70,5366,174,4987,21,25,611,248,175,3,245,10,29,26,14,1,47,17,99,124,11,14
11/17/2020,25,71,37,70,5923,178,5050,22,25,613,248,178,3,248,10,30,27,14,1,47,17,101,124,12,15
11/18/2020,28,71,42,75,6080,183,5106,22,25,692,250,191,3,250,10,30,27,14,1,48,17,101,125,12,15
11/19/2020,28,74,42,75,6340,188,5141,22,25,719,254,192,3,261,10,30,28,14,1,49,17,102,126,12,15
11/20/2020,29,75,43,75,6508,191,5224,22,25,728,258,192,3,262,10,30,30,14,1,50,17,105,127,12,15
11/21/2020,30,77,44,77,6722,192,5303,23,25,745,277,192,3,270,10,30,30,15,1,54,17,110,133,12,15
11/22/2020,30,77,44,78,6903,208,5345,23,25,753,289,192,3,272,10,30,31,15,1,56,17,110,133,13,15
11/23/2020,31,78,47,78,7226,210,5391,23,25,776,296,194,5,288,10,31,34,16,1,63,22,110,138,14,15
11/24/2020,31,80,47,78,7434,210,5446,23,25,781,303,194,5,295,10,31,35,16,1,72,22,111,138,14,15
11/25/2020,31,81,50,78,7673,210,5486,23,25,790,309,194,5,298,10,31,35,16,1,78,23,112,141,14,15
11/26/2020,31,82,50,78,7948,214,5506,23,25,871,325,194,5,299,10,31,36,16,1,94,23,112,141,14,15
11/27/2020,31,82,55,78,8228,215,5603,23,25,931,335,195,5,300,10,31,36,16,1,101,23,121,143,14,15
11/28/2020,46,82,58,81,8486,215,5675,24,25,970,338,198,5,304,10,36,37,16,1,118,23,129,143,14,15
11/29/2020,68,84,58,81,8698,215,5746,24,25,985,374,203,10,318,10,37,37,17,1,118,23,129,150,14,15
11/30/2020,75,84,58,81,8954,217,5865,24,26,1021,374,205,10,320,10,38,47,17,1,125,23,130,151,15,15
12/1/2020,84,85,62,81,9199,219,6042,24,26,1024,375,207,11,327,10,41,50,17,1,129,23,147,151,16,15
12/2/2020,98,85,66,81,9456,219,6144,24,26,1037,411,208,12,329,14,44,51,17,1,132,23,154,187,17,15
12/3/2020,119,85,88,82,9771,226,6190,24,26,1059,450,211,12,331,14,45,53,17,1,145,23,155,204,17,15
12/4/2020,149,88,91,90,10282,229,6305,24,26,1162,452,215,12,335,14,45,55,17,1,160,25,195,205,17,16
12/5/2020,185,88,91,90,10592,241,6361,25,27,1245,502,217,12,350,14,46,55,19,1,161,26,201,239,17,16
12/6/2020,203,89,91,93,10866,246,6464,26,27,1294,505,224,13,366,14,46,58,19,1,170,26,202,242,17,17
12/7/2020,228,90,117,93,11077,264,6521,26,30,1333,706,228,13,369,14,47,68,20,1,189,27,223,258,17,17
12/8/2020,233,92,121,94,11473,280,6628,26,30,1339,709,228,14,370,14,47,69,21,1,216,27,281,261,19,17
12/9/2020,280,98,121,95,11883,287,6737,74,30,1357,738,231,14,372,14,48,69,22,1,216,28,288,275,19,17
12/10/2020,330,98,121,96,12355,294,6823,74,30,1487,739,236,14,384,14,54,69,22,1,216,28,291,297,22,17
12/11/2020,344,99,129,97,12643,306,6962,75,30,1545,802,236,14,392,14,55,89,23,1,219,30,319,315,22,17
12/12/2020,359,100,129,97,12852,308,7045,75,32,1616,860,237,14,410,14,58,95,23,1,224,30,319,332,27,17
12/13/2020,377,101,131,97,13292,335,7173,75,37,1687,861,238,14,417,14,58,99,24,1,237,31,323,334,27,19
12/14/2020,399,104,143,98,13623,348,7272,77,37,1855,873,241,14,438,14,66,121,31,1,243,31,342,344,27,19
12/15/2020,429,107,146,98,13868,348,7377,77,69,1930,923,243,14,461,14,66,126,36,3,249,31,360,377,28,19
12/16/2020,458,107,148,99,14138,380,7540,79,70,1976,945,249,14,476,14,72,126,52,3,296,31,371,383,28,23
12/17/2020,501,110,151,99,14405,409,7627,79,83,2038,956,254,14,481,14,74,134,64,3,301,34,373,386,28,23
12/18/2020,532,110,158,100,14635,413,7734,87,85,2153,966,261,14,491,14,74,153,64,3,313,39,375,398,28,23
12/19/2020,557,110,160,100,14945,421,7804,87,87,2219,1041,270,14,498,14,74,168,78,3,318,39,376,426,29,23
12/20/2020,607,110,162,102,15168,428,7937,87,93,2316,1051,275,14,511,14,79,192,81,3,320,40,389,434,30,27
12/21/2020,608,110,164,102,15429,475,8011,88,101,2423,1094,298,14,514,14,80,194,88,3,322,40,391,449,31,28
12/22/2020,619,111,164,102,15684,487,8111,97,106,2524,1098,325,14,523,14,80,215,88,3,323,40,398,458,33,30
12/23/2020,633,115,164,103,15785,499,8183,97,109,2562,1116,327,14,526,14,86,221,88,3,352,41,400,460,50,30
12/24/2020,634,115,164,105,16012,509,8215,97,109,2638,1119,327,14,530,14,86,232,88,4,352,43,404,464,61,31
12/25/2020,643,116,165,107,16197,528,8322,100,111,2685,1122,366,16,532,14,87,256,89,4,364,43,404,492,61,32
12/26/2020,684,122,165,111,16456,536,8400,104,119,2713,1160,379,17,565,14,88,256,95,4,383,44,405,513,61,32
12/27/2020,692,128,168,115,16702,538,8511,105,121,2743,1163,401,17,568,14,89,268,113,4,385,45,416,540,61,32
12/28/2020,719,133,171,116,16872,552,8654,107,121,2810,1164,475,17,572,14,89,268,114,4,387,46,442,563,69,32
12/29/2020,740,136,171,116,17113,564,8785,109,121,2866,1215,482,17,578,14,90,290,114,5,421,46,443,567,76,32
12/30/2020,740,138,172,119,17275,576,8883,113,122,2904,1258,501,17,599,14,91,298,115,5,456,48,445,589,77,32
12/31/2020,741,139,177,121,17476,594,8947,114,122,2918,1284,503,17,599,14,93,322,119,5,485,50,448,607,85,32
1/1/2021,754,139,180,121,17539,626,9164,114,130,2962,1315,556,17,629,14,109,323,123,5,511,50,450,642,91,32
1/2/2021,772,140,181,128,17803,628,9249,116,143,2998,1375,570,17,631,14,114,323,123,6,535,50,450,652,91,32
1/3/2021,777,140,183,156,17967,664,9322,120,146,3030,1403,617,17,639,14,116,349,125,6,541,52,450,676,97,32
1/4/2021,806,147,188,156,18050,672,9439,139,146,3064,1434,619,17,672,14,124,374,127,6,550,64,450,728,97,32
1/5/2021,813,147,191,161,18197,675,9518,144,146,3090,1472,641,19,674,14,128,376,127,6,554,65,451,741,104,32
1/6/2021,822,148,192,170,18425,699,9581,158,152,3114,1495,650,19,678,14,130,376,133,6,567,65,452,765,104,33
1/7/2021,852,151,195,180,18551,701,9725,163,154,3142,1516,655,20,680,19,146,403,133,6,567,69,452,784,117,38
1/8/2021,859,153,195,186,18733,726,9821,166,154,3213,1528,685,20,710,19,146,407,133,6,567,70,453,797,140,38
1/9/2021,893,155,195,191,18873,769,9905,172,157,3226,1592,706,27,715,19,148,422,137,6,567,72,454,811,141,38
1/10/2021,901,158,200,211,19030,780,10013,174,164,3245,1635,718,27,718,21,160,425,137,6,574,74,479,824,141,93
1/11/2021,908,159,201,211,19283,798,10067,189,166,3259,1725,723,27,719,21,165,456,140,7,574,76,481,828,152,93
1/12/2021,915,161,201,211,19481,826,10121,201,166,3324,1731,767,27,724,23,169,457,141,7,595,80,483,882,158,93
1/13/2021,943,166,210,228,19644,840,10255,202,166,3365,1760,786,27,739,23,176,458,152,7,599,86,496,900,175,102
1/14/2021,957,167,210,228,19794,863,10429,203,166,3405,1762,820,30,755,25,183,468,153,9,608,88,505,905,182,155
1/15/2021,986,170,211,238,20010,873,10544,204,166,3453,1853,836,30,767,29,216,481,154,10,609,99,505,908,196,171
1/16/2021,1000,170,214,238,20253,929,10608,205,166,3508,1900,844,30,778,33,220,498,165,12,610,99,527,948,208,174
1/17/2021,1001,173,222,240,20439,951,10853,213,166,3569,1913,878,30,785,33,220,501,176,12,616,104,539,970,210,195
1/18/2021,1009,173,231,242,20670,961,11013,215,166,3647,1959,895,30,811,34,254,503,179,12,626,112,543,984,235,197
1/19/2021,1018,174,239,255,20855,985,11179,220,166,3717,1999,899,32,821,49,268,538,184,12,646,112,563,1004,237,233
1/20/2021,1023,181,254,265,20984,1012,11329,255,169,3748,2008,908,32,870,51,268,553,201,12,657,114,566,1005,285,240
1/21/2021,1053,182,260,273,21185,1046,11507,258,169,3763,2016,932,32,876,51,284,577,204,12,657,114,568,1045,319,260
1/22/2021,1059,184,263,278,21377,1098,11617,262,174,3815,2090,944,32,887,76,306,640,206,13,657,141,595,1047,333,285
1/23/2021,1084,197,275,284,21703,1150,11764,278,181,3850,2137,946,34,918,76,356,646,210,14,657,142,599,1080,334,285
1/24/2021,1127,202,280,291,21838,1180,11857,289,181,3896,2165,955,34,924,86,361,697,226,14,680,144,605,1081,346,305
1/25/2021,1139,205,285,296,22043,1189,12032,307,182,3916,2220,978,34,964,109,371,754,235,14,685,145,615,1108,346,311
1/26/2021,1152,208,298,311,22300,1219,12160,312,182,3945,2321,1012,34,979,111,410,766,239,15,686,146,633,1110,359,314
1/27/2021,1174,211,304,318,22452,1273,12278,318,184,4090,2352,1028,34,1013,111,428,779,244,15,700,147,645,1126,367,314
1/28/2021,1179,211,320,321,22707,1312,12392,319,187,4207,2359,1034,35,1017,111,473,803,246,15,702,147,648,1193,369,314
1/29/2021,1190,213,323,324,23017,1323,12505,332,189,4242,2367,1040,35,1148,126,476,817,248,15,703,148,657,1194,377,315
1/30/2021,1195,215,342,332,23211,1329,12694,333,192,4273,2395,1054,35,1162,136,478,851,254,15,742,149,663,1200,378,317
1/31/2021,1211,215,342,332,23360,1357,12820,333,192,4321,2427,1067,35,1191,136,486,853,255,15,742,149,681,1206,404,317
2/1/2021,1213,215,366,333,23570,1393,12956,341,192,4381,2442,1109,35,1270,148,498,883,256,16,769,161,727,1262,405,319
2/2/2021,1225,243,374,335,23815,1407,13097,353,193,4467,2497,1114,35,1318,148,519,901,259,16,770,163,747,1276,405,325
2/3/2021,1235,254,418,342,23974,1437,13286,369,196,4505,2640,1131,36,1329,150,543,901,269,16,788,165,769,1280,406,326
2/4/2021,1251,257,458,343,24168,1483,13452,376,202,4563,2660,1146,36,1373,150,547,914,275,16,808,179,775,1283,409,328
2/5/2021,1253,266,504,348,24386,1520,13552,380,204,4635,2688,1156,37,1435,151,550,947,277,17,835,179,782,1287,409,329
2/6/2021,1258,268,517,353,24592,1572,13706,411,204,4675,2725,1177,38,1470,151,567,973,280,17,837,180,804,1296,409,329
2/7/2021,1288,279,617,356,24798,1587,13774,415,204,4703,2800,1186,38,1530,164,576,997,287,17,855,180,812,1300,420,333
2/8/2021,1302,280,725,356,24958,1605,13896,460,204,4739,2815,1194,38,1558,164,590,1080,292,17,855,181,819,1348,420,333
2/9/2021,1306,280,824,363,25175,1619,14112,466,204,4764,2902,1199,38,1566,164,598,1096,295,17,869,181,822,1373,420,336
2/10/2021,1306,331,908,364,25362,1664,14357,468,205,4838,2970,1204,40,1613,175,606,1102,296,17,869,181,843,1374,420,339
2/11/2021,1343,332,938,368,25605,1717,14592,488,206,4965,2978,1213,41,1654,175,615,1139,315,17,882,182,855,1426,423,339
2/12/2021,1349,359,944,371,25866,1735,14749,489,206,5059,3001,1253,44,1734,175,640,1190,317,17,909,182,870,1457,435,342
2/13/2021,1359,360,948,396,26064,1759,14894,489,210,5242,3086,1270,53,1823,188,644,1255,320,17,911,182,885,1468,435,344
2/14/2021,1372,367,965,398,26307,1781,15099,496,217,5358,3108,1276,54,1874,191,644,1287,321,18,911,190,946,1511,437,354
2/15/2021,1378,382,975,399,26527,1785,15239,511,219,5437,3279,1280,55,1911,191,648,1293,336,18,913,192,957,1545,438,354
2/16/2021,1401,385,989,399,26644,1814,15452,511,221,5567,3326,1298,76,1957,193,667,1322,337,20,963,192,959,1549,453,355
2/17/2021,1404,402,993,426,26754,1835,15529,538,223,5622,3464,1305,77,2022,198,671,1340,338,20,969,195,985,1633,454,356
2/18/2021,1410,428,1060,426,26925,1852,15669,539,229,5674,3573,1315,80,2040,198,702,1346,345,20,970,202,1011,1661,463,356
2/19/2021,1419,428,1075,427,27085,1864,15813,539,230,5788,3611,1327,88,2071,198,719,1358,346,20,974,202,1037,1721,464,356
2/20/2021,1426,431,1129,436,27215,1875,15904,539,230,5829,3694,1334,92,2077,199,730,1359,347,20,981,202,1040,1726,464,358
2/21/2021,1440,435,1151,441,27323,1883,15956,542,238,5911,3705,1355,99,2096,199,770,1382,347,20,991,203,1041,1776,464,358
2/22/2021,1455,437,1166,449,27420,1898,16010,549,238,5966,3757,1364,100,2108,200,788,1396,353,20,1030,203,1081,1813,471,358
2/23/2021,1463,449,1189,450,27525,1921,16146,549,242,5986,3779,1372,101,2131,200,796,1447,355,23,1031,206,1095,1849,471,358
2/24/2021,1479,462,1204,456,27619,1937,16211,567,244,6003,3815,1379,106,2160,201,804,1473,364,24,1082,207,1099,1888,471,358
2/25/2021,1482,470,1245,458,27683,1947,16284,584,261,6019,3840,1397,106,2170,226,818,1494,403,24,1082,209,1116,1936,475,358
2/26/2021,1494,471,1245,467,27843,1961,16389,587,266,6043,3843,1406,106,2194,226,825,1497,404,26,1105,209,1118,1966,475,358
2/27/2021,1496,472,1265,469,27908,1977,16501,587,267,6102,3857,1425,107,2229,226,850,1511,413,26,1137,209,1131,1979,475,358
2/28/2021,1500,477,1266,470,27959,1994,16556,592,320,6127,3899,1433,107,2233,226,859,1511,447,26,1138,210,1132,2051,475,358
3/1/2021,1502,480,1277,471,28072,2013,16651,596,326,6128,3906,1436,107,2294,227,866,1541,447,26,1141,210,1137,2075,477,361
